system:time_start,Alameda,Contra Costa,Marin,Napa,Santa Clara,San Francisco,San Mateo,Solano,Sonoma
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
"Jan 5, 2020",0,0,0,0,0,0,0,0,0
